index,time_id,ref_year,ref_month
0,187205,1872,5
1,187206,1872,6
2,187207,1872,7
3,187208,1872,8
4,187209,1872,9
5,187210,1872,10
6,187211,1872,11
7,187212,1872,12
8,187301,1873,1
9,187302,1873,2
10,187303,1873,3
11,187304,1873,4
12,187305,1873,5
13,187306,1873,6
14,187307,1873,7
15,187308,1873,8
16,187309,1873,9
17,187310,1873,10
18,187311,1873,11
19,187312,1873,12
20,187401,1874,1
21,187402,1874,2
22,187403,1874,3
23,187404,1874,4
24,187405,1874,5
25,187406,1874,6
26,187407,1874,7
27,187408,1874,8
28,187409,1874,9
29,187410,1874,10
30,187411,1874,11
31,187412,1874,12
32,187501,1875,1
33,187502,1875,2
34,187503,1875,3
35,187504,1875,4
36,187505,1875,5
37,187506,1875,6
38,187507,1875,7
39,187508,1875,8
40,187509,1875,9
41,187510,1875,10
42,187511,1875,11
43,187512,1875,12
44,187601,1876,1
45,187602,1876,2
46,187603,1876,3
47,187604,1876,4
48,187605,1876,5
49,187606,1876,6
50,187607,1876,7
51,187608,1876,8
52,187609,1876,9
53,187611,1876,11
54,187612,1876,12
55,187701,1877,1
56,187702,1877,2
57,187703,1877,3
58,187704,1877,4
59,187705,1877,5
60,187706,1877,6
61,187707,1877,7
62,187708,1877,8
63,187709,1877,9
64,187710,1877,10
65,187712,1877,12
66,187801,1878,1
67,187802,1878,2
68,187803,1878,3
69,187804,1878,4
70,187805,1878,5
71,187806,1878,6
72,187807,1878,7
73,187808,1878,8
74,187809,1878,9
75,187810,1878,10
76,187811,1878,11
77,187812,1878,12
78,187901,1879,1
79,187902,1879,2
80,187903,1879,3
81,187904,1879,4
82,187905,1879,5
83,187906,1879,6
84,187907,1879,7
85,187908,1879,8
86,187909,1879,9
87,187910,1879,10
88,187911,1879,11
89,187912,1879,12
90,188001,1880,1
91,188002,1880,2
92,188003,1880,3
93,188004,1880,4
94,188005,1880,5
95,188006,1880,6
96,188007,1880,7
97,188008,1880,8
98,188009,1880,9
99,188010,1880,10
100,188011,1880,11
101,188012,1880,12
102,188101,1881,1
103,188102,1881,2
104,188103,1881,3
105,188104,1881,4
106,188105,1881,5
107,188106,1881,6
108,188107,1881,7
109,188108,1881,8
110,188109,1881,9
111,188110,1881,10
112,188111,1881,11
113,188112,1881,12
114,188201,1882,1
115,188202,1882,2
116,188203,1882,3
117,188204,1882,4
118,188205,1882,5
119,188206,1882,6
120,188207,1882,7
121,188208,1882,8
122,188209,1882,9
123,188210,1882,10
124,188211,1882,11
125,188212,1882,12
126,188301,1883,1
127,188302,1883,2
128,188303,1883,3
129,188304,1883,4
130,188305,1883,5
131,188306,1883,6
132,188307,1883,7
133,188308,1883,8
134,188309,1883,9
135,188310,1883,10
136,188311,1883,11
137,188312,1883,12
138,188401,1884,1
139,188402,1884,2
140,188403,1884,3
141,188404,1884,4
142,188405,1884,5
143,188406,1884,6
144,188407,1884,7
145,188408,1884,8
146,188409,1884,9
147,188410,1884,10
148,188411,1884,11
149,188412,1884,12
150,188501,1885,1
151,188502,1885,2
152,188503,1885,3
153,188504,1885,4
154,188505,1885,5
155,188506,1885,6
156,188507,1885,7
157,188508,1885,8
158,188509,1885,9
159,188510,1885,10
160,188511,1885,11
161,188512,1885,12
162,188601,1886,1
163,188602,1886,2
164,188603,1886,3
165,188604,1886,4
166,188605,1886,5
167,188606,1886,6
168,188607,1886,7
169,188608,1886,8
170,188609,1886,9
171,188610,1886,10
172,188611,1886,11
173,188612,1886,12
174,188701,1887,1
175,188702,1887,2
176,188703,1887,3
177,188704,1887,4
178,188705,1887,5
179,188706,1887,6
180,188707,1887,7
181,188708,1887,8
182,188709,1887,9
183,188710,1887,10
184,188711,1887,11
185,188712,1887,12
186,188801,1888,1
187,188802,1888,2
188,188803,1888,3
189,188804,1888,4
190,188805,1888,5
191,188806,1888,6
192,188807,1888,7
193,188808,1888,8
194,188809,1888,9
195,188810,1888,10
196,188811,1888,11
197,188812,1888,12
198,188901,1889,1
199,188902,1889,2
200,188903,1889,3
201,188904,1889,4
202,188905,1889,5
203,188906,1889,6
204,188907,1889,7
205,188908,1889,8
206,188909,1889,9
207,188910,1889,10
208,188911,1889,11
209,188912,1889,12
210,189001,1890,1
211,189002,1890,2
212,189003,1890,3
213,189004,1890,4
214,189005,1890,5
215,189006,1890,6
216,189007,1890,7
217,189008,1890,8
218,189009,1890,9
219,189010,1890,10
220,189011,1890,11
221,189012,1890,12
222,189101,1891,1
223,189102,1891,2
224,189103,1891,3
225,189104,1891,4
226,189105,1891,5
227,189106,1891,6
228,189107,1891,7
229,189108,1891,8
230,189109,1891,9
231,189110,1891,10
232,189111,1891,11
233,189112,1891,12
234,189201,1892,1
235,189202,1892,2
236,189203,1892,3
237,189204,1892,4
238,189205,1892,5
239,189206,1892,6
240,189207,1892,7
241,189208,1892,8
242,189209,1892,9
243,189210,1892,10
244,189211,1892,11
245,189212,1892,12
246,189301,1893,1
247,189302,1893,2
248,189303,1893,3
249,189304,1893,4
250,189305,1893,5
251,189306,1893,6
252,189307,1893,7
253,189308,1893,8
254,189309,1893,9
255,189310,1893,10
256,189311,1893,11
257,189312,1893,12
258,189401,1894,1
259,189402,1894,2
260,189403,1894,3
261,189404,1894,4
262,189405,1894,5
263,189406,1894,6
264,189407,1894,7
265,189408,1894,8
266,189409,1894,9
267,189410,1894,10
268,189411,1894,11
269,189412,1894,12
270,189501,1895,1
271,189502,1895,2
272,189503,1895,3
273,189504,1895,4
274,189505,1895,5
275,189506,1895,6
276,189507,1895,7
277,189508,1895,8
278,189509,1895,9
279,189510,1895,10
280,189511,1895,11
281,189512,1895,12
282,189601,1896,1
283,189602,1896,2
284,189603,1896,3
