measurement_id,station_num,time_id,t_mean_c,t_max_c,t_min_c,mean_t_max_c,mean_t_min_c,p_mean_hpa,p_max_hpa,p_min_hpa,precp_sum_mm,num_precp_01,rel_hum_pct,rel_hum_max_pct,rel_hum_min_pct,wind_vel_ms,wind_vel_max_ms,num_wind_vel60,sun_h,num_clear,num_cloud,num_frost,num_ice,num_summer,num_heat
1,5901,187205,17.0,30.6,7.9,23.1,11.8,990.9,1003.2,981.2,50,8,64,,,7.2,,,,8,9,0,0,13,2
2,5901,187206,17.2,28.3,10.0,22.6,12.9,990.0,999.7,981.3,73,11,66,,,10.8,,,,1,7,0,0,7,0
3,5901,187207,20.2,34.4,10.5,25.7,14.9,990.9,999.5,982.3,57,12,61,,,7.6,,,,10,8,0,0,15,5
4,5901,187208,17.6,30.2,8.4,22.5,13.4,990.6,997.9,979.1,166,18,71,,,9.7,,,,1,10,0,0,8,1
5,5901,187209,16.2,28.7,3.3,21.8,11.2,991.3,1000.4,979.5,31,6,71,,,9.7,,,,10,7,0,0,11,0
6,5901,187210,12.5,22.6,3.0,16.6,8.6,989.3,1002.3,976.9,50,10,81,,,9.7,,,,2,8,0,0,0,0
7,5901,187211,6.1,15.2,-1.3,8.9,2.7,990.0,1005.2,965.2,81,14,87,,,6.5,,,,1,12,3,0,0,0
8,5901,187212,3.5,16.0,-5.0,5.4,1.2,988.7,1003.3,967.7,32,17,84,,,7.6,,,,0,19,11,0,0,0
9,5901,187301,1.2,12.4,-5.4,3.6,-1.1,993.5,1004.9,958.5,20,13,87,,,7.2,,,,2,22,23,6,0,0
10,5901,187302,0.4,10.7,-6.8,2.6,-2.0,993.5,1015.3,973.5,77,17,85,,,10.1,,,,1,16,20,6,0,0
11,5901,187303,7.0,16.8,-1.3,11.2,2.4,988.6,1000.5,971.2,34,5,73,,,8.6,,,,8,11,2,0,0,0
12,5901,187304,9.0,22.3,-0.5,13.7,4.1,986.9,1000.5,973.5,14,10,67,,,10.4,,,,4,9,1,0,0,0
13,5901,187305,11.5,22.4,3.1,15.8,7.1,988.1,999.1,976.4,85,18,70,,,13.0,,,,0,10,0,0,0,0
14,5901,187306,17.5,29.4,6.2,22.3,12.3,990.6,1000.3,978.9,61,16,68,,,10.1,,,,7,3,0,0,13,0
15,5901,187307,21.7,33.7,10.1,27.1,15.6,992.9,1001.7,984.3,24,10,60,,,9.4,,,,5,1,0,0,22,6
16,5901,187308,21.3,35.0,10.0,27.5,15.2,993.3,1002.1,983.6,52,7,61,,,6.5,,,,16,1,0,0,21,10
17,5901,187309,14.1,26.3,2.0,19.2,9.4,993.7,1005.1,982.8,66,13,73,,,7.9,,,,10,3,0,0,2,0
18,5901,187310,12.2,25.0,1.3,16.2,8.1,991.2,1003.9,976.1,27,12,80,,,7.6,,,,5,5,0,0,1,0
19,5901,187311,5.5,18.1,-5.3,7.9,2.7,990.5,1004.8,962.4,27,14,78,,,10.8,,,,4,9,8,0,0,0
20,5901,187312,1.3,8.8,-10.0,4.0,-1.5,1001.3,1017.2,979.6,18,8,73,,,12.2,,,,9,8,21,5,0,0
21,5901,187401,-0.8,12.7,-9.9,2.0,-4.0,998.9,1010.7,984.7,17,10,83,,,10.8,,,,1,9,27,12,0,0
22,5901,187402,0.3,9.0,-10.0,3.4,-2.5,994.8,1010.3,977.9,35,14,76,,,13.7,,,,4,7,17,4,0,0
23,5901,187403,4.0,20.4,-5.8,8.1,0.3,996.8,1013.2,977.7,48,10,65,,,15.8,,,,8,7,17,0,0,0
24,5901,187404,11.6,24.5,-0.4,15.8,6.4,988.0,999.5,970.7,49,12,64,,,9.0,,,,5,10,1,0,0,0
25,5901,187405,10.7,26.4,0.4,14.4,5.8,986.4,996.8,970.4,112,20,66,,,12.2,,,,4,7,0,0,2,0
26,5901,187406,18.3,30.6,8.0,23.2,12.5,993.3,1001.3,979.2,117,15,65,,,8.6,,,,8,7,0,0,11,2
27,5901,187407,22.3,33.0,12.3,27.4,15.9,992.3,999.5,981.3,29,10,66,,,6.5,,,,10,3,0,0,25,5
28,5901,187408,17.9,32.0,7.2,22.2,13.1,991.7,999.9,982.5,50,12,69,,,10.8,,,,3,10,0,0,8,1
29,5901,187409,17.4,29.7,5.6,23.4,11.4,995.2,1004.3,984.4,37,7,70,,,6.5,,,,16,2,0,0,12,0
30,5901,187410,10.2,26.0,-1.5,15.1,5.9,995.0,1009.9,974.4,14,7,78,,,7.6,,,,14,3,2,0,2,0
31,5901,187411,1.1,7.7,-6.0,2.9,-1.0,991.1,1009.2,968.7,42,11,86,,,8.3,,,,0,23,19,5,0,0
32,5901,187412,-0.9,6.1,-9.0,0.8,-3.3,983.5,1002.1,968.0,79,14,82,,,11.9,,,,0,20,28,9,0,0
33,5901,187501,-0.2,11.4,-11.0,2.5,-3.6,995.7,1010.5,967.3,59,17,78,,,12.6,,,,1,11,27,12,0,0
34,5901,187502,-4.6,4.9,-15.5,-2.1,-7.2,992.5,1006.7,980.5,35,12,79,,,11.2,,,,4,9,26,22,0,0
35,5901,187503,-0.1,9.0,-11.5,2.9,-3.2,995.0,1007.1,978.9,72,12,77,,,9.4,,,,6,11,25,7,0,0
36,5901,187504,8.7,22.4,-3.5,13.0,3.3,991.4,1000.7,977.2,28,9,60,,,7.9,,,,6,6,2,0,0,0
37,5901,187505,15.7,27.5,2.5,20.2,9.5,992.9,1004.1,979.7,29,11,62,,,8.6,,,,10,5,0,0,5,0
38,5901,187506,20.5,33.4,9.2,25.5,14.9,990.6,996.9,984.3,48,14,67,,,9.0,,,,6,2,0,0,16,2
39,5901,187507,19.7,30.7,9.7,24.3,14.6,990.1,1002.7,978.9,65,13,66,,,9.0,,,,5,2,0,0,10,1
40,5901,187508,20.3,32.8,10.5,25.2,14.5,993.5,1002.7,979.6,64,14,67,,,6.8,,,,13,4,0,0,17,5
41,5901,187509,14.3,24.7,-0.6,19.6,9.0,995.5,1006.1,981.9,29,12,66,,,10.1,,,,11,2,1,0,0,0
42,5901,187510,7.7,18.1,0.0,10.8,4.4,988.6,1007.5,963.5,91,18,81,,,8.3,,,,4,17,0,0,0,0
43,5901,187511,3.1,15.7,-6.0,5.5,0.4,987.1,1003.1,968.3,59,16,78,,,10.8,,,,1,15,13,2,0,0
44,5901,187512,-2.3,10.6,-17.1,0.8,-4.8,994.0,1005.3,970.8,72,21,82,,,13.7,,,,2,18,25,13,0,0
45,5901,187601,-4.9,5.4,-14.4,-2.8,-7.4,1002.7,1015.3,988.3,25,14,87,,,7.9,,,,3,19,30,23,0,0
46,5901,187602,-0.4,13.2,-14.1,2.4,-3.8,989.2,1009.6,973.3,131,23,85,,,10.1,,,,1,14,17,14,0,0
47,5901,187603,5.6,22.5,-3.5,9.5,1.8,981.7,992.8,964.0,72,17,75,,,14.0,,,,1,11,9,0,0,0
48,5901,187604,12.0,26.4,0.8,16.8,6.6,989.2,1003.3,978.4,37,10,69,,,9.7,,,,6,10,0,0,2,0
49,5901,187605,10.8,24.0,-1.1,14.7,6.0,991.8,1002.4,979.6,57,9,64,,,10.4,,,,2,10,2,0,0,0
50,5901,187606,18.6,29.0,8.4,23.1,13.5,989.1,996.5,980.1,58,9,66,,,10.4,,,,5,4,0,0,9,0
51,5901,187607,19.8,30.8,11.5,24.0,14.7,993.7,1005.1,984.5,29,13,64,,,13.0,,,,8,7,0,0,14,1
52,5901,187608,19.9,30.4,7.9,25.1,14.0,992.0,1000.1,976.5,71,9,60,,,5.8,,,,13,4,0,0,18,4
53,5901,187609,14.3,25.9,2.5,18.7,9.7,989.6,1004.1,976.7,66,17,74,,,9.4,,,,6,5,0,0,2,0
55,5901,187611,0.4,7.1,-7.8,1.9,-1.8,992.7,1000.9,984.0,47,19,86,,,9.4,,,,1,20,23,6,0,0
56,5901,187612,2.0,15.6,-14.2,4.0,-1.0,985.2,1008.8,962.8,43,15,88,,,5.4,,,,2,16,15,5,0,0
57,5901,187701,1.4,12.0,-9.5,3.7,-1.6,994.4,1008.9,977.1,32,11,88,,,5.4,,,,1,19,22,6,0,0
58,5901,187702,2.7,12.7,-3.5,5.4,-0.2,988.7,1005.2,968.8,99,18,77,,,15.8,,,,2,11,15,2,0,0
59,5901,187703,3.7,23.1,-10.0,7.8,-0.6,984.6,1003.7,966.3,50,15,71,,,10.1,,,,5,9,16,4,0,0
60,5901,187704,8.1,21.9,-2.5,11.9,4.0,985.2,1000.7,973.7,42,13,69,,,10.8,,,,4,10,4,0,0,0
61,5901,187705,12.0,26.0,-0.2,16.0,7.2,987.6,995.7,978.4,64,16,69,,,10.8,,,,1,10,1,0,1,0
62,5901,187706,20.0,30.4,8.6,24.7,13.3,995.0,1003.6,985.5,28,9,61,,,7.2,,,,13,2,0,0,15,2
63,5901,187707,19.1,31.2,10.1,23.9,14.0,992.0,1001.5,976.8,67,17,76,,,8.6,,,,7,5,0,0,15,1
64,5901,187708,21.1,34.9,10.4,27.1,15.9,991.8,999.6,983.1,32,12,74,,,8.3,,,,13,2,0,0,24,7
65,5901,187709,12.6,27.5,1.0,17.3,8.9,993.2,1005.2,979.3,36,8,85,,,6.5,,,,8,9,0,0,1,0
66,5901,187710,8.0,19.6,-4.1,12.7,3.7,995.5,1008.4,978.7,11,9,76,,,7.6,,,,8,6,5,0,0,0
68,5901,187712,-0.2,7.3,-13.8,1.8,-2.7,994.4,1010.1,973.2,86,18,87,,,7.2,,,,1,17,21,7,0,0
69,5901,187801,-1.4,9.5,-10.2,0.5,-3.9,995.0,1011.2,969.6,72,12,81,,,15.5,,,,1,22,25,15,0,0
70,5901,187802,3.0,11.8,-7.3,5.5,0.2,1000.7,1009.6,984.3,25,10,79,,,13.3,,,,1,19,12,3,0,0
71,5901,187803,4.5,21.5,-7.5,8.2,1.1,988.1,1009.6,965.5,82,20,69,,,19.4,,,,2,12,12,2,0,0
72,5901,187804,10.5,22.6,-0.4,15.1,5.7,988.1,997.9,967.7,38,11,67,,,8.3,,,,5,6,1,0,0,0
73,5901,187805,14.7,30.5,5.2,19.6,9.5,989.4,1001.7,974.5,61,14,70,,,6.8,,,,6,7,0,0,3,1
74,5901,187806,17.8,27.3,6.7,22.7,11.8,991.0,1001.1,975.7,88,12,69,,,7.2,,,,6,6,0,0,7,0
75,5901,187807,18.5,31.6,9.7,22.8,13.3,989.5,999.7,979.7,68,13,68,,,12.2,,,,2,7,0,0,7,2
76,5901,187808,18.9,29.1,7.3,23.5,13.0,988.4,998.4,980.1,93,14,75,,,7.6,,,,4,8,0,0,12,0
77,5901,187809,16.3,28.0,7.5,21.0,12.2,992.0,1002.8,980.4,58,11,78,,,7.9,,,,8,6,0,0,6,0
78,5901,187810,10.9,20.9,1.8,14.9,7.8,990.9,1004.3,977.2,73,12,84,,,6.5,,,,4,9,0,0,0,0
79,5901,187811,4.1,15.5,-4.5,7.1,0.8,986.8,1004.5,969.2,92,10,82,,,9.0,,,,0,12,13,0,0,0
80,5901,187812,-1.9,11.0,-14.0,0.4,-5.0,985.0,1005.5,968.4,48,10,84,,,11.5,,,,2,18,26,13,0,0
81,5901,187901,-2.1,12.6,-13.8,0.4,-4.6,993.6,1005.5,977.7,34,17,87,,,6.5,,,,0,20,25,17,0,0
82,5901,187902,1.5,11.3,-5.8,4.2,-0.5,980.2,995.9,961.5,51,12,83,,,11.9,,,,1,12,17,3,0,0
83,5901,187903,3.5,17.1,-5.3,7.0,0.2,991.7,1009.9,980.5,72,16,73,,,13.3,,,,4,15,15,2,0,0
84,5901,187904,9.0,22.8,0.1,13.3,4.7,980.2,991.7,967.6,116,12,72,,,13.3,,,,3,14,0,0,0,0
85,5901,187905,12.6,24.6,0.7,16.9,7.7,988.7,997.7,971.2,147,12,72,,,10.1,,,,4,10,0,0,0,0
86,5901,187906,18.5,31.0,9.5,23.7,13.6,990.3,998.4,978.0,111,15,72,,,11.2,,,,6,6,0,0,13,1
87,5901,187907,17.1,31.7,9.8,22.5,12.7,989.0,999.3,979.6,106,20,73,,,13.3,,,,4,3,0,0,7,1
